"var_in","method","unit_in","var_out","notes"
"dataset",NA,NA,NA,NA
"location",NA,"-","location",NA
"latitude",NA,"deg","latitude",NA
"longitude",NA,"deg","longitude",NA
"family",NA,"-","family",NA
"species",NA,"-","species",NA
"pft",NA,"-","pft",NA
"a.stbc","?","m2","a.stbc",NA
"h.t","?","m","h.t",NA
"h.c","?","m","h.c",NA
"d.ba","?","m","d.ba",NA
"d.bh","?","m","d.bh",NA
"m.lf","m5,1","kg","m.lf",NA
"m.st","?","kg","m.st",NA
"m.so","?","kg","m.so",NA
"m.br","?","kg","m.br",NA
"growingCondition",NA,"-","growingCondition",NA
