"var_in","method","unit_in","var_out","notes"
"dataset",NA,NA,NA,NA
"location",NA,NA,"location",NA
"latitude",NA,"deg","latitude",NA
"longitude",NA,"deg","longitude",NA
"vegetation",NA,NA,"vegetation",NA
"family",NA,NA,"family",NA
"species",NA,NA,"species",NA
"pft",NA,NA,"pft",NA
"d.bh","d3","m","d.bh",NA
"m.lf","mx1,m4,1","kg","m.lf",NA
"m.st","j,e2,m3,m4","kg","m.st",NA
"m.so","m3,m4","kg","m.so",NA
"m.br","m3,m4","kg","m.br",NA
"m.rc","m3,m4","kg","m.rt",NA
"m.to","m3,m4","kg","m.to",NA
"growingCondition",NA,NA,"growingCondition",NA
